Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Denmark,DNK,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0
Denmark,DNK,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.03
Denmark,DNK,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.76
Denmark,DNK,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.11
Denmark,DNK,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.11
Denmark,DNK,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.11
Denmark,DNK,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.11
Denmark,DNK,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.13
Denmark,DNK,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,0.13
Denmark,DNK,1965,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.66
Denmark,DNK,1960,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,15.98
Denmark,DNK,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0
Denmark,DNK,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.09
Denmark,DNK,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.8
Denmark,DNK,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
Denmark,DNK,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
Denmark,DNK,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.11
Denmark,DNK,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.96
Denmark,DNK,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.65
Denmark,DNK,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,0.13
Denmark,DNK,1965,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,5.84
Denmark,DNK,1960,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,10.62
Denmark,DNK,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.88
Denmark,DNK,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.33
Denmark,DNK,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,1.26
Denmark,DNK,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.12
Denmark,DNK,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,0.11
Denmark,DNK,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,2.32
