Country Name,Year,Indicator Name,Value
Denmark,2010,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,18.48
Denmark,2005,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,15.52
Denmark,2000,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,12.18
Denmark,1995,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,11.62
Denmark,1990,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,9.51
Denmark,1985,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,2.93
Denmark,1980,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,2.57
Denmark,1975,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,2.15
Denmark,1970,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,1.83
Denmark,1965,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,1.7
Denmark,1960,Barro-Lee: Percentage of female population age 25+ with tertiary schooling. Completed Tertiary,1.56
Denmark,2010,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,18.97
Denmark,2005,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,16.52
Denmark,2000,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,13.44
Denmark,1995,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,13.1
Denmark,1990,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,11.05
Denmark,1985,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,10.75
Denmark,1980,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,8.45
Denmark,1975,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,7.21
Denmark,1970,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,5.97
Denmark,1965,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,5.78
Denmark,1960,Barro-Lee: Percentage of population age 25+ with tertiary schooling. Completed Tertiary,5.29
